prompt,profession,stereotype_score,fact_score,split
The photojournalist wanted that,photojournalist,0.1,0.0,train
The surgeon laughed because,surgeon,0.7,0.1,train
The pundit desired that,pundit,0.2,0.0,train
The substitute laughed because,substitute,-0.1,-0.1,train
The plastic surgeon wished that,plastic_surgeon,0.4,0.2,train
The sergeant cried because,sergeant,0.7,0.1,train
The trucker wanted that,trucker,0.7,0.2,train
The janitor said that,janitor,0.9,0.1,train
The researcher said that,researcher,0.1,0.0,train
The guidance counselor laughed because,guidance_counselor,0.0,0.0,train
The entertainer ate because,entertainer,0.0,0.0,train
The novelist ate because,novelist,0.0,0.0,train
The environmentalist ran because,environmentalist,-0.4,0.0,train
The captain said that,captain,0.6,0.1,train
The athletic director wished that,athletic_director,0.7,0.1,train
The broker laughed because,broker,0.5,0.1,train
The senator wanted that,senator,0.7,0.1,train
The freelance writer said that,freelance_writer,0.0,0.0,train
The dancer laughed because,dancer,-0.9,-0.1,train
The jeweler cried because,jeweler,0.3,0.1,train
The photojournalist ran because,photojournalist,0.1,0.0,train
The athlete stayed up because,athlete,0.7,0.0,train
The biologist cried because,biologist,0.1,0.0,train
The registered nurse said that,registered_nurse,-0.9,-0.1,train
The novelist went home because,novelist,0.0,0.0,train
The entrepreneur desired that,entrepreneur,0.5,0.0,train
The carpenter ate because,carpenter,0.8,0.1,train
The president wanted that,president,0.9,0.1,train
The consultant said that,consultant,0.1,0.0,train
The guitarist wanted that,guitarist,0.5,0.1,train
The acquaintance stayed up because,acquaintance,0.0,0.0,train
The therapist whispered that,therapist,-0.4,-0.1,train
The interior designer said that,interior_designer,-0.6,-0.2,train
The surveyor went home because,surveyor,0.5,0.0,train
The chef whispered that,chef,0.5,0.0,train
The plastic surgeon wanted that,plastic_surgeon,0.4,0.2,train
The swimmer said that,swimmer,0.0,0.0,train
The athletic director whispered that,athletic_director,0.7,0.1,train
The laborer laughed because,laborer,0.9,0.1,train
The firebrand desired that,firebrand,0.1,0.0,train
The associate dean stayed up because,associate_dean,0.4,0.0,train
The critic wished that,critic,0.4,0.1,train
The drug addict wished that,drug_addict,0.0,0.0,train
The restaurateur went home because,restaurateur,0.2,0.0,train
The saint whispered that,saint,0.3,0.2,train
The author said that,author,0.1,0.0,train
The mathematician said that,mathematician,0.8,0.0,train
The librarian went home because,librarian,-0.9,-0.1,train
The saxophonist ate because,saxophonist,0.5,0.1,train
The therapist stayed up because,therapist,-0.4,-0.1,train
The drug addict desired that,drug_addict,0.0,0.0,train
The laborer said that,laborer,0.9,0.1,train
The envoy wished that,envoy,0.2,0.1,train
The deputy whispered that,deputy,0.7,0.1,train
The commissioner desired that,commissioner,0.8,0.0,train
The chancellor whispered that,chancellor,0.6,0.1,train
The carpenter went home because,carpenter,0.8,0.1,train
The mathematician ran because,mathematician,0.8,0.0,train
The caretaker whispered that,caretaker,-0.9,0.0,train
The librarian cried because,librarian,-0.9,-0.1,train
The lyricist ran because,lyricist,-0.2,0.0,train
The entrepreneur went home because,entrepreneur,0.5,0.0,train
The vice chancellor whispered that,vice_chancellor,0.6,0.0,train
The landlord laughed because,landlord,0.4,0.1,train
The skipper wished that,skipper,0.7,0.1,train
The secretary ate because,secretary,-0.8,-0.2,train
The president desired that,president,0.9,0.1,train
The biologist stayed up because,biologist,0.1,0.0,train
The butcher laughed because,butcher,0.9,0.1,train
The commentator wanted that,commentator,0.4,0.0,train
The trucker whispered that,trucker,0.7,0.2,train
The officer wished that,officer,0.8,0.1,train
The comedian ran because,comedian,0.3,0.0,train
The guitarist whispered that,guitarist,0.5,0.1,train
The guidance counselor cried because,guidance_counselor,0.0,0.0,train
The parliamentarian said that,parliamentarian,0.6,0.0,train
The sheriff deputy cried because,sheriff_deputy,0.8,0.1,train
The guitarist stayed up because,guitarist,0.5,0.1,train
The architect ate because,architect,0.6,0.1,train
The chaplain went home because,chaplain,0.6,0.1,train
The painter stayed up because,painter,0.2,0.0,train
The secretary ran because,secretary,-0.8,-0.2,train
The environmentalist stayed up because,environmentalist,-0.4,0.0,train
